designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2927271695445705600,2927271695445705600,100.99165372289485,-20.312868007390954,1.3514660542870767,0.37666497,-1.8685233703909891,4.175235212060523,1.0075415,19.90305,2.6304302,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6347861769893595
Gaia DR3 2926899957442097920,2926899957442097920,101.07555477238053,-21.204879445690313,1.360553309694158,0.12176497,-4.358507560016346,-1.5080815020570257,1.0609375,18.241943,2.2422638,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,3661.6138,4.2669,-0.4785,1110.9075,0.7051,0.479,0.2832,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6350103501108515
Gaia DR3 2927257397500042368,2927257397500042368,101.29084009322455,-20.118532747397307,1.3705805025032662,0.40059307,4.5609037912264485,-1.451084940565626,1.0316705,19.795893,2.2420998,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6351441514416654
Gaia DR3 2927280418524232064,2927280418524232064,101.18110228302272,-20.16465449852855,1.3509453668334852,0.027079454,-4.334424058517858,-1.9404078771273212,1.2943349,10.481021,0.061405182,17.306108,NOT_AVAILABLE,0,true,true,false,false,false,true,true,9600.905,4.0139,-0.8984,724.5646,0.1339,0.1283,0.0682,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6352421278678935
Gaia DR3 2927244860496971136,2927244860496971136,101.78801918367475,-20.13784945529116,1.386857891723291,0.03565028,-3.708914936655305,2.491781832776093,1.0281949,15.823153,1.2950306,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4736.3276,4.6608,-0.0521,643.7338,0.1665,0.1286,0.0676,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.635422618664346
Gaia DR3 2926958742654682496,2926958742654682496,102.17263449228633,-20.881308162004125,1.3773209364242118,0.15642942,-0.6629401681889766,-2.287805266957925,1.0162458,18.600801,2.2830086,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3606.952,4.847,-0.465,554.7067,0.6054,0.41,0.2429,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6378372737866825
Gaia DR3 2926838487866510080,2926838487866510080,101.60376447989704,-21.35292182809353,1.4014952617526277,0.8121172,-3.1688438525308182,2.7539561608803353,1.0707724,20.558163,2.0566444,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6399495121641944
Gaia DR3 2927039595415511680,2927039595415511680,102.08547169129795,-20.36751378555147,1.3684828657718668,1.0011996,-1.273775913448606,1.6636768216167748,1.0363251,20.679873,0.999588,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6408937269326754
Gaia DR3 2926931495381598720,2926931495381598720,102.09103856827909,-21.065609522513316,1.3917328519470125,0.14916162,5.3349640626831025,-6.3744016374541115,0.9802973,18.564663,2.4231186,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3562.5261,4.3247,-0.3165,1099.6918,0.6126,0.4085,0.252,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6419846617557418
Gaia DR3 2926905489359523968,2926905489359523968,100.94430221923295,-21.080061330953402,1.3780005700661146,0.10910523,-1.0687733949816653,7.608633992677734,1.0220385,18.083113,2.0888233,,VARIABLE,0,false,false,false,true,false,true,true,3799.8337,4.7739,-0.371,622.3248,0.6561,0.4557,0.2586,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6424935382552088
Gaia DR3 2927257504877422720,2927257504877422720,101.31062242762681,-20.10450389568983,1.4050189146309209,1.2262093,-3.219657837697131,1.045897547437634,1.1198797,20.706978,1.5047703,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6427073315468762
Gaia DR3 2926983898285865600,2926983898285865600,102.19189414803695,-20.6184267851025,1.3608908107529871,0.03837889,-6.553581181229767,-3.0909848669007296,1.038431,16.168175,1.3900614,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4490.233,4.5539,-0.0259,770.6172,0.1569,0.1196,0.0629,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6431477359186348
Gaia DR3 2927258535672399616,2927258535672399616,101.45517638613086,-20.075978887625276,1.3957122712799983,0.060226314,-4.322595681304156,-1.255757686097228,1.0114361,16.829851,1.6474257,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4239.4575,4.607,0.0301,722.021,0.4128,0.3034,0.1617,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6449115352020327
Gaia DR3 2927038770789406336,2927038770789406336,102.10825373248066,-20.39164924237829,1.3944738152972411,0.0671467,1.1049338013928738,-3.6761768118606963,0.95311725,17.218868,1.9391956,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4185.189,4.446,0.2819,933.4634,0.8557,0.6112,0.3337,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6462674370157899
