ra,dec,parallax,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
101.43412611100094,-20.686358713785825,1.3462257682106917,20.86558,-4.491806287079142,-1.7761950204028563,1.0291713,17.10803,17.959427,16.204657,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0804380647349242
101.54960463922491,-20.645458588971604,1.5347433714063798,5.627993,-4.07522411703978,-1.3251154541003267,1.0156776,19.328772,20.610239,18.204062,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0808161318464165
101.50201431030234,-20.799015559475713,1.2743986718268938,1.2848164,-1.1703695909145506,0.17280382962736368,1.0911387,20.577425,20.886585,20.01917,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08104114528611667
101.42757432653981,-20.693164767101337,1.4141508484102032,47.068905,-3.7996379291330675,-1.0482524912339437,1.2489866,8.538796,8.503079,8.567471,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08377350853850582
101.42428423654104,-20.731391652428915,1.4897020736773656,4.13586,-3.205113788440399,2.9216647975447607,1.1658894,19.532143,20.695112,18.375929,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08385967936568246
101.42916594533929,-20.749223198012125,1.530306666911215,3.3132036,-4.721879176575023,-0.8238890932967448,1.010071,20.268803,20.7927,19.031265,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08407919938450682
101.60283433111042,-20.71560888443894,1.3232748351186172,63.775093,-4.584398241775832,-1.389996789175059,1.1373464,14.500723,14.837312,13.934634,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08417334873055325
101.4554433142259,-20.784458470091245,1.2814760579167639,3.079292,-4.583878908752746,-1.1979778948441784,1.0844333,19.654385,20.847427,18.41604,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08498223130796598
101.47512810290982,-20.641114561494092,1.5760654678575876,19.72669,-4.488175626502757,-1.268522742893379,1.016075,17.472239,18.418104,16.522423,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08517769980485496
101.52688435232655,-20.634314532515926,1.3605815913054948,83.146324,-4.323300443597538,-1.364712282769688,1.2505956,12.224606,12.390168,11.929425,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08531094029689858
101.5638623936732,-20.64714316274864,1.302675367424536,2.6605184,-4.50458908156232,-1.280419818334564,1.0603013,20.115818,21.189789,18.862236,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08591634289857297
101.4548762463805,-20.785231788718406,1.2156290890769441,34.256634,-3.957956303114825,15.751771080779006,1.0071504,15.938498,16.474165,15.264162,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08591658981790203
101.57700838844342,-20.656830726137162,1.2586611918286865,2.472875,-5.646013965587896,4.968737575879494,1.0614682,20.146397,21.162207,19.076414,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08610729421922066
101.57541116091637,-20.654548710250662,1.3502334613185163,2.822707,0.008545566786412828,3.7494744942318405,1.05372,20.118593,20.699995,19.328787,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08674510889342558
101.49789200559245,-20.632901852565823,1.3533265267075925,63.460285,-4.45084188112554,-1.2991816498221682,1.046816,14.783478,15.187454,14.215137,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08685667971892774
